time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/fps,time/time_elapsed,train/approx_kl,train/explained_variance,train/clip_fraction,train/value_loss,train/learning_rate,train/policy_gradient_loss,train/n_updates,train/clip_range,train/entropy_loss,train/loss
180224,20.41,-19.408075099999998,88,2,62153,0.00022761937,0.18474268913269043,0.0,38.991370952129365,1e-05,-0.0020799316414922943,870,0.2,-3.56572425365448,18.94208526611328
182272,21.18,-20.17799875,89,2,63106,0.00029397305,0.22567647695541382,0.0,33.55755826830864,1e-05,-0.0020040729112224655,880,0.2,-3.5603645145893097,16.655426025390625
184320,20.47,-19.468069139999997,90,2,64084,0.00029054304,0.19915980100631714,0.0,37.111716628074646,1e-05,-0.002663342821324477,890,0.2,-3.5618434071540834,20.778980255126953
186368,21.14,-20.13800271,91,2,65043,0.0003061397,0.234205961227417,0.0,32.73697455525398,1e-05,-0.0024338934454135597,900,0.2,-3.551094212383032,13.771120071411133
188416,20.7,-19.69804642,92,2,66015,0.00034505883,0.2230650782585144,0.0,35.61765005588531,1e-05,-0.002366913956211647,910,0.2,-3.551953760534525,15.521737098693848
190464,20.02,-19.01811379,93,2,67009,0.0004396492,0.2332870364189148,0.0,32.15007054209709,1e-05,-0.0027092545889900064,920,0.2,-3.542384908348322,16.50895118713379
192512,20.69,-19.68804734,94,2,67980,0.0003973683,0.2548334002494812,0.0,29.105484980344773,1e-05,-0.0024142254987964407,930,0.2,-3.5345958292484285,13.629298210144043
194560,19.99,-18.98811674,95,2,68977,0.00020498055,0.23816370964050293,0.0,32.49649949669838,1e-05,-0.0021655744130839594,940,0.2,-3.5382414467632772,19.163061141967773
196608,19.94,-18.93812138,96,2,69969,0.0003982318,0.26573890447616577,0.0,27.959803903102873,1e-05,-0.0023294770973734556,950,0.2,-3.5215079329907892,14.175521850585938
198656,19.59,-18.58815637,97,2,70975,0.0007151888,0.2769997715950012,0.0,27.395774632692337,1e-05,-0.004011104092933237,960,0.2,-3.5183490835130216,15.074846267700195
200704,19.82,-18.818133319999998,98,2,71965,0.00018056709,0.2806161642074585,0.0,26.438686269521714,1e-05,-0.001294543588301167,970,0.2,-3.515256568789482,14.164666175842285
202752,20.03,-19.028109490000002,99,2,72959,0.0003729173,0.28550904989242554,0.0,26.232990288734435,1e-05,-0.0023848984681535514,980,0.2,-3.5153268918395044,10.70608139038086
204800,20.43,-19.42805922,100,2,73935,0.00017001186,0.28060412406921387,4.8828125e-05,26.443804877996445,1e-05,-0.0014441496183280832,990,0.2,-3.509795169532299,13.58383846282959
206848,20.09,-19.088091669999997,101,2,74924,0.00027738573,0.2804451584815979,0.0,28.325563633441924,1e-05,-0.0020230784284649417,1000,0.2,-3.5139488227665425,15.30943775177002
208896,20.11,-19.108096309999997,102,2,75913,0.0003461067,0.2835545539855957,0.0,26.899087047576906,1e-05,-0.0024060283714788964,1010,0.2,-3.5048620134592054,16.007043838500977
210944,19.96,-18.95809851,103,2,76906,0.0001292495,0.2930251955986023,0.0,26.20773936510086,1e-05,-0.001237431819026824,1020,0.2,-3.500291871279478,15.066411018371582
212992,19.28,-18.278161209999997,104,2,77915,0.00040331282,0.30176085233688354,0.0,25.032192367315293,1e-05,-0.002655388483253773,1030,0.2,-3.4954925037920477,14.184880256652832
215040,19.85,-18.848092740000002,105,2,78913,0.00022523894,0.33094942569732666,0.00029296875,22.586011189222337,1e-05,-0.00145280099241063,1040,0.2,-3.489011535793543,11.244315147399902
217088,19.46,-18.45812747,106,2,79922,0.00027838215,0.3305569887161255,0.0,23.833004543185233,1e-05,-0.0019395468378206715,1050,0.2,-3.487895020842552,10.452648162841797
